tweet;sentimen
Udah melebihi askar. Padahal cuman satpol pp... Ngurusin cara beragama sesama,  yg dia sendiri jg tak lbh baik cara beragamanya.';negatif
Jadi satpol pp pun ngga mudah gaes, ngga bisa asal mengesampingkan peraturang demi kemanusiaan, kalo mereka ngga menjalankan perintah perda mereka kena disersi, sebaliknya kalo menjalankan perda kalian teriaki arogansi, ayolah jangan asal menyalahkan orang';positif
Buat kalian yg nyalahin satpol pp, kayaknya kalian salah orang deh, coba deh mikir, satpol pp itu cuma jalanin perintah, berarti yg arogan yang buat perintahnya dong, ye gak? Dan kalo bandingin serang dengan daerah kalian yg lain yaaa jelas beda dong, perda nya aja beda';positif
satpol pp mah cuma jalanin perintah broo, yg arogan itu yg buat perintah\n\nDikira satpol pp juga ngga iba?, dia juga punya perasaan kemanusiaan bos tapi dikesampingin demi profesionalitasan\n\nNgga jalanin perintah ditegur atasan, jalanin perintah dibilang arogan, haduuhhh';positif
TERUS INI APA URUSANNYA SAMA SATPOL PP?\nAPAKAH SATPOL INI PP INI IMANNYA TERGODA MELIHAT ORANG ORANG YANG GAK PUASA?\nTERUS KALO TERGODA BERARTI YANG DISALAHIN YANG MAKAN GITU?';negatif
Satpol pp nya ga jelas njir, pengen dibilang tegas tp salah persepsi';negatif
Ada yg kabur tapi bukan penjahat...\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 Ngibrit bgt kek mau ketangkep satpol pp\n\nDosa lu al puasa\xc2\xb2 berulah mulu, bukan didoain malah dirusak itu makam adeknya.. \n#ikatancinta';negatif
b'@JONGINXMDK Ke satpol pp kuy';negatif
b'Ngomel mulu kek satpol pp.';negatif
b'@Namaku_Mei Instansi paling gajelas adalah Satpol PP';negatif
b'Satpol pp dr dulu hingga sekarang...angellll,angeeelllll..angel tenan tuturane';negatif
b'@Namaku_Mei kenapa pas puasa nya umat agama lain satpol pp ga kaya gitu? \xf0\x9f\xa4\xa3\xf0\x9f\x98\x82';negatif
"b'Temenku sengor\xc2\xb2an a.k.a adu bacot  sama satpol pp, sampe temenku bilang,\n""Ari sira ne pengen deleng getih mens kite tah? Tonggoni neng kene mun arep ngedeleng""\nDijawab satpol pp nya kelabakan,  ""ore teh ore, wis percaye kite teteh lg mens"" \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3'";negatif
b'@Namaku_Mei padahal kan itu dosa jg mereka yg nanggung yah, apa mungkin satpol pp nya kena dosa jg btw itu rice cooker nya di bawa lumayan yah bwt buka nanti wkwkwkk';negatif
b'@TretanMuslim Harusnya lawan aja ya satpol PP nyaaa. Toh juga gaada undang\xc2\xb2nya perihal makan siang di warteg di bulan puasa...';negatif
b'Pedagang Adu Mulut dengan Satpol PP https://t.co/AmrRd5hqHo';negatif
b'Viral Satpol PP Serang Sita Magic Com Warung Nasi yang Buka Saat Puasa Ramadhan: Pak, Tolong Pak Jangan Dibawa https://t.co/FUpW4tGee6';negatif
b'@KatolikG Fpi udah dibubarin,sekarang satpol pp minta dibubarin jg?';negatif
b'@KatolikG ribet bgt dah satpol pp emg, yg puasa aja ga merasa keganggu';negatif
b'@Namaku_Mei satpol pp kerjanya ga penting bgt dah..';negatif
b'@heliannc @astrovnomi kalo di dunia nyata udah diusir satpol pp ini \xf0\x9f\x98\xad';negatif
b'@Namaku_Mei Kyanya kerjaan satpol pp ini paling ga jls, grebek org mkn, gusur rumah warga, gusur pedagang kaki lima, grebek org mesum lah';negatif
b'yo ancene ngene lek wong jowo seh , ndek jawa timur kyok gatau se onok sweeping2 ga guna kyok satpol PP e Serang ngono , poso2 awan2 dodolan babi ae sek buka2 ae aman2 ae malah~ https://t.co/VvxXc7AKbs';negatif
b'Satpol PP tai';negatif
b'tuhkan sampe satpol pp ngerazia warung makan loh, sumpah ini gak penting banget anjim. mungkin bagi beberapa orang ini sepele, tapi menurutku isu ini penting bro, karena hampir tiap tahun kejadian ini terus berulang.';negatif
b'miris sama satpol pp kota serang\n1: ngk semua indo muslim\n2: misalpun muslim terus ketahuan ngk puasa, itu hukumanya dosa, balasannya nerakamya Tuhan, bukan salah kepada pemerintah dan penjara atau denda\nToh warteg nya udh sopan di tutup2in, ngapain di sweeping hah! Btw sy MUSLIM';negatif
b'@pppootato satpol PP menyita mejikom sebagai barang bukti\n\ndahlah emang gada yang betul disini \xf0\x9f\x98\xad';negatif
b'@Namaku_Mei Terus yang non kalau mau makan makan dimana ya? Terus kok nggak merazia yang warung warung besar yang masih buka? Terus lagi, padahal kan itu udah ditutup? Salahnya teh dimana aing bingung sama satpol pp @SatpolPP_DKI @satpolppkng @satpol_tmg @satpolpp_jateng';negatif
b'@Namaku_Mei Satpol PP Kota Serang apa cuma berani merazia warteg2 saja? mmgnya semua ornag hatus ikut puasa apa? keimanannya cetek banget';negatif
b'@Namaku_Mei Padahal tahun perdana ramadhan tanpa fpi gw kira bakal aman dan tentram tanpa kejadian kayak gini, eh malah diganti sama satpol pp \xf0\x9f\x98\x91';negatif
b'@TretanMuslim Ini satpol pp kurang asupan susu bebelac apa gimana seh?';negatif
b'@Namaku_Mei Satpol PP berani gak sih sama resto2 gede macam KFC/MCD? Kenapa yg terang2an gitu gak kena ciduk ya? Apa gimana gue gak paham.';negatif
b'@Namaku_Mei ini satpol PP lagi menegakkan perda Serang yang mana ya? kalau gaada perda yg mengatur hal tsb maka harusnya ga memenuhi asas legalitas kalau dalam HAN, wetmatigheid van berstuur. *cmiiw';negatif
b'@nidaya_ Satpol pp sih mantep mah wkwk. Maksudnya dilaporin ke rt juga, rtnya belom pernah ngontrog warung \xf0\x9f\x98\x82 cuma rame di grup whatsapp doang';negatif
b'Babinsa Koramil 03/Siak Serma Erianto bersama  Anggota Polsek dan Satpol PP  melaksanakan kegiatan Protokol Kesehatan dalam rangka memutus mata rantai penyebaran Covid - 19 di Pasar Kp. Seminai Kec. Kerinci Kanan Kab. Siak.(17/04/2021) https://t.co/A5yEKtnxjS';negatif
b'@na_dirs Hahaaaa......\nAda kebijakan ada tindakan, yg sabar ya pak satpol PP, ente digaji utk penegakan hukum melalui perda.';positif
b'Masih ada aja ampun dah, satpol PP lagi alat negara. https://t.co/CZBJgEf8Il';negatif
b'@na_dirs FPI dibubarkan ini penggantinya petugas keamanan dari Pemerintah dan Satpol PP , pusing dah pak.Jokowi bagaimana ini pak @mohmahfudmd @Kemendagri_RI';negatif
b'@Namaku_Mei Satpol PP lagi cosplay jadi FPI';negatif
b'@na_dirs Satpol pp preman pemburu warteg dibulan ramadhan?';negatif
b'@Namaku_Mei Satpol PP tuh harusnya berdasarkan peraturan apa UU ga sih? Kalo kaya gini dasarnya apa coba?';negatif
b'Tiap tahun malu maluin aja nih satpol pp serang, kayanya situ iri mulu ya liat orang makan.';negatif
b'@sakdiyahmaruf Alhadulillah FPei udah bubar dan sekarng pekerjaan.a diambil alih satpol PP di sebagian wilayah \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad';negatif
b'@Namaku_Mei sekarang surga dan neraka diatur petugas satpol pp wkwkwkwk bingung.';negatif
b'@KompasTV Ada Perda HAM ng? Kalau satpol pp menutup warung di siang hari, satpol pp nya ditindak dan disanksi. Ada?\nBeragama kok memaksakan kehendak?';negatif
b'@sunscuttle Lahhh itu bukan ke yg lagi makan loh tp ke satpol pp nya sampe minta dihormatin gitu maksutnya';negatif
b'@haizico_ Aku skrg paham, ormas dibubarin karena satpol pp ingin pekerjaan ini.';negatif
b'@terduduki @tubirfess satpol pp cuma ngikutin arahan perda sih, yg mesti diisut ulang itu perdanya';negatif
b'Circa 2013 bulan Ramadhan pernah ke Kantor Pemda buat ngurus sesuatu. Keluyuran bentar ke bagian belakang kantor. Banya anggota satpol PP lagi pada ngeroko, kongkow2 ketawa-ketawa sambil nonton rekannya main catur';negatif
b'@Namaku_Mei Satpol pp edan...';negatif
b'@fikriazy yang jadi sasaran juga kenapa cuma orang-orang kecil? yang di resto besar bahkan di mall masih ada yang buka kenapa dibiarin gitu? munafik itu namanya. satpol pp yang gusur-gusur gitu mah asal ada duit doang baru nurut';negatif
b'@nacyxsi Gak tau, gajelas emang satpol pp';negatif
b'@RDchili Biji mana Syeh  Kota @harmonyfmserang  ini, peran organisasi Syeh Redchili yang lama malah di ambil alih... Efpeie nya insaf malah satpol PP ya nyang melakukan...';negatif
b'@Namaku_Mei Itu satpol pp kalo mau makan ,mbok ya gari melu beee ndadak disita mejikome apa ora melas meng bakule jan toal toal';negatif
b'@Corona_KafirNw @Kemenag_RI @kemendagri @YaqutCQoumas @MUIPusat Sudah parah ini! Satpol PP sudah berubah fungsi jadi tukang sweeping warung nasi dan orang yg sedang makan. Ini sudah pelanggaran HAM, tapi @KomnasHAM belagak pilon. Tidak ada dlm UUD kita yg melarang orang berjualan atau makan di siang hari di saat bulan Ramadhan.';negatif
b'@Namaku_Mei @Pencerah__ Yang Menjalankan peraturan nya sangat  kaku,, dampak dari tindakan mereka nama baik pemerintah dan agama tercoreng,\nPetugas satpol PP nya pernah sekolah agama apa tidak  itu..?';negatif
b'Bingung sih sama daerah yg melarang warung makanan buka saat puasa, sampe ada yg satpol PP nya angkut2in kursi juga.';negatif
b'@Pencerah__ @PemprovBanten Satpol PP ngajinya jangan Ftamhuran aja, main yg jauh biar kebuka otak sempitnya\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n\nhttps://t.co/p5VdFyKA3i';negatif
b'@starfess mo jawab oneit, tp mak bedunduk keinget oiya rumahku dah diobrak-abrik satpol pp';negatif
b'@Pencerah__ @PemprovBanten Satpol PP kota Serang kerjanya kok sama dengan gerombolan yang sdh dibubarkan kemarin,\nApakah mereka simpatisannya?';negatif
b'Satpol pp serasa tuhan';negatif
b'Aneh sekaligus kasian liat satpol pp razia warung makan yang buka siang hari';negatif
b'@ChusnulCh__ @Putra__Wajo @jokowi @Dr_Moeldoko OMDO\n\nOrang jualan di Serang aja MAGIC COM nya diangkut satpol pp @pemkotserang \nSampai yg punya minta2 jgn disita karena alat buat nyari makan, usaha.\n\nNegara ke mana ????\n@KSPgoid KE MANA ???';negatif
b'@Namaku_Mei Kenapa ke warteg...  Kenapa ga ke mcd,  kfc dll...  Kompor nya kegedean ya buat dibawa ke kantor satpol PP???';negatif
b'Kalau puasa masih minta tolong ke Satpol PP mending ga usah puasa.\nPuasa kok bikin susah orang aneh!';negatif
"b'tapi ada sih yang baik kayak warung nasi yg punya Haji gt, tiap gue lupa masak buat bekel dia bilang ""Maria makan disini aja nnt buka kok tapi jam 2 ya, makan didalem"", pas kena sweeping satpol pp juga tapi ga jd ngomel\xc2\xb2 malah salim soalnya belom\xc2\xb2 udah kena amuk Bu Haji \xf0\x9f\xa4\xa3\xf0\x9f\x98\xad'";positif
b'Udah berapa hari ini liat beberapa video warung di grebek. Man, lo gabisa bikin aturan negara berdasarkan pahala dan dosa. Pengikut Lia eden aja lebih paham dari para satpol pp kayaknya wkwk';negatif
b'@Namaku_Mei Belum tentu juga satpol pp nya puasa kan? Malu2 in aja \xf0\x9f\x98\xa4';negatif
b'@Pencerah__ @BiLLRaY2019 @PemprovBanten Habis FPI terbitlah satpol pp @pemkotserang \n\nYg satu ga jelas siapa yg bayar\nYg ini JELAS PEMERINTAH yg bayar\n\nHerannya, pemerintah, dalam hal ini, @kemendagri DIAM saja\n\nMundur aja pak Tito, klo takut ngurusin';negatif
"b""@Untung51440057 @Miduk17 Beraninya cuma dgn rakyat kecil,kita tunggu satpol pp dan Pa Walikota berani ngga 'Sweeping' dan sita Franchise McD dkk... di Tunggu Segera""";negatif
"b'@Namaku_Mei Ngapa dah indonesia ad ""satpol pp"", banyak ngerugiin nya daripada nguntungin'";negatif
b'@KompasTV Satpol PP ialah penerus FPI.';negatif
b'@Namaku_Mei Abis FPI terbitlah satpol PP yang sama sama gak guna';negatif
b'@tubirfess satpol pp semakin menunjukkan kalau mereka butuh duid';negatif
b'@tubirfess Wkwk ormas nya udah dibubarin tapi satpol PP nya yg rese skrng.';negatif
Kalau nertibkan PKL yg menghalangi jalan OKAY LAH.. \nTapi kalau nyegel warung2 makanan yg gak menghalangi jalan raya itu sich FPI kedua dong \xf0\x9f\xa4\xad.. \nGak akan batal iman seseorang liat warung2 nasi pada buka broh satpol pp;negatif
Satpol PP barangkali hanya menjalankan tugas. Yang buat perda yg ngawur.;positif
To be fair, ngaconya bukan di satpol pp tapi di peraturan daerahnya. Kemaren sempet nyari perda-nya dan memang ada aturan yang terang2an ngelarang ini. Satpol pp cuma jalanin perda aja, yang ngaco emang pemdanya;positif
Satpol PP bagus menghimbau kepada masyarakat untuk tidak menyalakan mercon yang mengakibatkan terganggunya aktifitas warga;positif
